acpi,Getting battery info,system,required
acpilight,Controlling backlight,system,required
alsa-utils,Audio utilities,system,required
amd-ucode,CPU microcode,system,required
arc-gtk-theme,GTK theme,system,required
aspell,Spell check,system,required
audacity,Audio editing,system,optional
autorandr,Saving/restoring display profiles,system,required
base,Base packages,system,required
base-devel,Packages for AUR,system,required
bluez-utils,Bluetooth,system,required
chromium,main browser,system,required
clang,For C-code formatting,system,optional
cmatrix,To be a hacker,system,required
colorpicker,Color picker,aur,optional
compton-tryone-git,Compton with blur,aur,required
cpulimit,To limit CPU usage on processes,system,required
cronie,For scheduling tasks,system,required
cups,Printing,system,optional
dhcpcd,DHCP,system,required
discord,It's discord,system,optional
dracut,Generating initramfs,system,required
dunst,Main notification agent,system,required
elinks,If stuck in TTY,system,optional
emacs,Experimenting with new editor,system,optional
ferdi-bin,For web apps,aur,optional
ffmpeg,Video encoding and screen capture,system,optional
ffmpegthumbnailer,Thumbnails,system,required
firefox,Backup browser,system,optional
fontpreview-git,Font previews in vifm,aur,optional
gdb,C Debugger,system,optional
geoclue2,For redshift location,system,required
gimp,Main image editor,system,optional
git,Cause git,system,required
gnome-keyring,For mailspring,system,optional
gucharmap,Viewing character map,system,optional
hunspell-en_US,Spell check,system,required
i3-gaps,Backup window manager,system,optional
i3lock-color,Lockscreen,system,required
inkscape,Main SVG editor,system,optional
insync,Google Drive sync,aur,optional
intel-media-driver,Hardware acceleration,system,required
intel-ucode,CPU microcode,system,required
kdenlive,Main video editor,system,optional
lastpass-cli,Password manager,system,optional
libreoffice-fresh,Word processing,system,optional
libsecret,For mailspring,system,optional
lightdm,Display manager,system,required
lightdm-webkit2-greeter,Pretty greeter,system,required
linux,Base packages,system,required
linux-firmware,Base packages,system,required
maia-gtk-theme,Theme for gtk-greeter,aur,optional
mailspring,Main email client,aur,optional
make,For making stuff,system,required
man-db,Man pages,system,required
nautilus,File explorer mainly for thumbnails,system,required
neovim,Main editor,system,required
nerd-fonts-complete,Icon fonts,aur,required
nitrogen,For desktop background,system,required
nmap,Network analysis,system,optional
ntfs-3g,Accessing ntfs drives,system,required
ntp,Syncing clock over Internet,system,required
openconnect,School VPN,system,optional,
openssh,SSH,system,required
openvpn,For VPNs,system,required
pacman-contrib,Pacman scripts,system,required
pamixer,Volume control,system,required
papirus-icon-theme,Icon theme for Rofi,system,required
patch,For patching stuff,system,required
physlock,Secure lockscreens,system,required
plymouth,Boot animation,aur,required
polybar,Status bar,aur, required
polybar-spotify-module,Polybar spotify module,aur,optional
powertop,Optimizing battery life,system,required
pulseaudio,Audio,system,required
python,It's python,system,optional
python-pip,Python package manager,system,optional
ueberzug,Image previews for vifm,pacman,required
redshift,For screen temperature control,system,required
restic,Backup,system,required
rofi,Main applet launcher,system,required
rofi-calc,Calc modi for rofi,aur,required
scrot,Screenshotting tool,system,optional
simple-scan,For scanning documents,system,optional
slack-desktop,It's slack,aur,optional
sox,For playing notification ringtone,system,required
spotify,Music,aur,optional
sudo,So I don't have to login as root,system,required
sxiv,Main image viewer,system,optional
synergy,For mouse/keyboard sharing,system,optional
termdown,Countdown/timer,system,optional
texlive-bibtexextra,LaTeX,system,optional
texlive-latexextra,LaTeX,system,optional
thefuck,When I fuck up,system,optional
tigervnc,VNC viewer,system,optional
tlp,Optimize power usage,system,required
tmux,Terminal multiplexer,system,optional
transmission-cli,Torrenting,system,optional
ttf-comfortaa,Cool font,aur,optional
ttf-fantasque-sans-mono,Cool font,system,optional
ttf-font-awesome,Icon font for polybar,system,required
ttf-iosevka,Cool font,aur,optional
ttf-material-design-icons,Main icon font,aur,required
ttf-opensans,Good font,system,required
ttf-roboto,Good font,system,required
ttf-weather-icons,Weather icons for polybar,aur,required
ttf-yosemite-san-francisco-font-git,Cool font,aur,required
unzip,Unzipping files,system,required
valgrind,C debugging tool,system,optional
vifm,Main file explorer,system,required
vlc,Main video viewer,system,optional
watchman,Watching commands,system,optional
wget,Downloading files,system,required
wpa_supplicant,WiFi,system,required
x11vnc,For VNC control,system,optional
xautolock,Auto screenlock,system,required
xbindkeys,Main custom keybinds,aur,required
xclip,Interfacing with X11 clipboard,system,required
xdotool,Interfacing with window manager,system,optional
xf86-video-amdgpu,Graphics driver,system,required
xorg-appres,Troubleshooting Xresources,system,required
xorg-server-common,X11,system,required
xorg-xev,Discovering key codes for xbindkeys,system,optional
xorg-xmodmap,Unbinding escape key,system,required
xorg-xprop,Interfacing with X11,system,required
xorg-xrandr,Managing multiple monitors,system,required
xorg-xrdb,To use Xresources,system,required
xournalpp,Notetaking,system,optional
yay,Installing AUR packages,aur,required
youtube-dl,Downloading youtube videos,system,optional
zathura-pdf-poppler,Main PDF viewer,system,optional
zip,Zipping files,system,required
zsh,Main shell,system,required
xorg-xinput
